All,全部,module,Magento_AdminGws,
None,無,module,Magento_AdminGws,
Allowed Scopes,允許的範圍,module,Magento_AdminGws,
You need more permissions to delete this item(s): %1.,你需要更多的權限來刪除此專案︰ %1。,module,Magento_AdminGws,
You need more permissions to apply some of the rule updates.,你需要更多的權限才能更新規則。,module,Magento_AdminGws,
Please assign this entity to a store view.,請將此分配給商店頁面。,module,Magento_AdminGws,
You can create orders only in an active store.,您只能在已啟用的商店建立訂單。,module,Magento_AdminGws,
Please assign this item to a store view.,請將此分配給商店頁面。,module,Magento_AdminGws,
You need more permissions to save this item.,你需要更多的權限保存檔案。,module,Magento_AdminGws,
You need more permissions to delete this item.,你需要更多權限刪除此檔案。,module,Magento_AdminGws,
You need more permissions to view this item.,您需要更多權限查看此檔案。,module,Magento_AdminGws,
Please specify at least one website or one store group.,請最少指定一個網站或商店群組。,module,Magento_AdminGws,
You need more permissions to set All Scopes to a Role.,您需要更多權限才可以設置用戶角色。,module,Magento_AdminGws,
Incorrect website ID: %1,不正確的網站 ID: %1,module,Magento_AdminGws,
"You need more permissions to access website ""%1"".","你需要更多權限訪問此網站""%1""。",module,Magento_AdminGws,
Incorrect store ID: %1,不正確的商店 ID: %1,module,Magento_AdminGws,
You need more permissions to save this setting.,你需要更多的權限，以保存此設定。,module,Magento_AdminGws,
Role Scopes,網站角色,module,Magento_AdminGws,
Custom,自訂,module,Magento_AdminGws,
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",您無權在當前商店視圖的範圍內保存此項目。 請切換到允許的商店視圖,module,Magento_AdminGws,
"More permissions are needed to delete the ""%1"" item.",需要更多權限才能刪除“%1”項目。,module,Magento_AdminGws,
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,該實體需要分配給商店視圖。 驗證實體分配，然後重試。,module,Magento_AdminGws,
Orders can only be completed in an active store. Verify the store and try again.,訂單只能在活動商店中完成。 驗證商店，然後重試。,module,Magento_AdminGws,
This item needs to be assigned to a store view. Assign item and try again.,該項目需要分配給商店視圖。 分配項目，然後重試。,module,Magento_AdminGws,
More permissions are needed to save this item.,需要更多權限才能保存此項目。,module,Magento_AdminGws,
More permissions are needed to delete this item.,需要更多權限才能刪除此項目。,module,Magento_AdminGws,
More permissions are needed to view this item.,需要更多權限才能查看此項目。,module,Magento_AdminGws,
At least one website or store group needs to be selected. Select and try again.,至少需要選擇一個網站或商店組。 選擇並重試。,module,Magento_AdminGws,
More permissions are needed to set All Scopes to a Role.,需要更多權限才能將“所有作用域”設置為“角色”。,module,Magento_AdminGws,
"The ""%1"" website ID is incorrect. Verify the website ID and try again.",“%1”網站ID不正確。 驗證網站ID，然後重試。,module,Magento_AdminGws,
"The ""%1"" store ID is incorrect. Verify the store ID and try again.",“%1”商店標識不正確。 驗證商店ID，然後重試。,module,Magento_AdminGws,
More permissions are needed to save this setting.,需要更多權限才能保存此設置。,module,Magento_AdminGws,
Read Details,詳細資料,module,Magento_AdminNotification,
Mark as Read,已讀,module,Magento_AdminNotification,
Are you sure?,是否確認?,module,Magento_AdminNotification,
Remove,移除,module,Magento_AdminNotification,
Messages Inbox,收件匣訊息,module,Magento_AdminNotification,
You have %1 new system messages,你有 %1 條新訊息,module,Magento_AdminNotification,
You have %1 new system message,你有 %1 條新訊息,module,Magento_AdminNotification,
Incoming Message,收到訊息,module,Magento_AdminNotification,
close,關閉,module,Magento_AdminNotification,
Notifications,通知,module,Magento_AdminNotification,
The message has been marked as Read.,訊息已標記為已讀。,module,Magento_AdminNotification,
We couldn't mark the notification as Read because of an error.,系統未能標記錯誤提示為已讀。,module,Magento_AdminNotification,
Please select messages.,請選擇訊息。,module,Magento_AdminNotification,
A total of %1 record(s) have been marked as Read.,共有 %1 條記錄已標記為已讀。,module,Magento_AdminNotification,
Total of %1 record(s) have been removed.,共有 %1 條記錄已被刪除。,module,Magento_AdminNotification,
We couldn't remove the messages because of an error.,發生錯誤，我們未能刪除訊息。,module,Magento_AdminNotification,
The message has been removed.,該訊息已被刪除。,module,Magento_AdminNotification,
1 Hour,1 小時,module,Magento_AdminNotification,
2 Hours,2 小時,module,Magento_AdminNotification,
6 Hours,6 小時,module,Magento_AdminNotification,
12 Hours,12 小時,module,Magento_AdminNotification,
24 Hours,24 小時,module,Magento_AdminNotification,
critical,關鍵,module,Magento_AdminNotification,
major,主要,module,Magento_AdminNotification,
minor,次要,module,Magento_AdminNotification,
notice,通知,module,Magento_AdminNotification,
Wrong message type,錯誤訊息類型,module,Magento_AdminNotification,
Wrong notification ID specified.,指定了錯誤的訊息 ID。,module,Magento_AdminNotification,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","在生產環境中不建議使用{{base_url}}作為加密／非加密的根網址，建議在Magento<a href=""%1"">設定</a>中更改為其他值。",module,Magento_AdminNotification,
One or more of the Cache Types are invalidated: %1. ,一個或多個緩存類型都將失效︰ %1。 ,module,Magento_AdminNotification,
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","請前往<a href=""%1"">緩存管理</a>並刷新緩存類型。",module,Magento_AdminNotification,
We were unable to synchronize one or more media files. Please refer to the log file for details.,有些媒體檔案未能同步，詳請參考例外日誌。,module,Magento_AdminNotification,
Synchronization of media storages has been completed.,媒體庫同步已完成。,module,Magento_AdminNotification,
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,你的網站伺服器設定未有阻止存取敏感檔案，請聯絡服務供應商。,module,Magento_AdminNotification,
System Messages:,系統訊息︰,module,Magento_AdminNotification,
Critical System Messages,關鍵系統消息,module,Magento_AdminNotification,
Major System Messages,主要系統消息,module,Magento_AdminNotification,
System messages,系統訊息,module,Magento_AdminNotification,
Close,關閉,module,Magento_AdminNotification,
See All (,顯示全部（,module,Magento_AdminNotification,
 unread),未讀）,module,Magento_AdminNotification,
Show Toolbar,顯示工具列,module,Magento_AdminNotification,
Show List,顯示清單,module,Magento_AdminNotification,
Use HTTPS to Get Feed,使用 HTTPS 獲取資料,module,Magento_AdminNotification,
Update Frequency,更新頻率,module,Magento_AdminNotification,
Last Update,最後更新,module,Magento_AdminNotification,
Severity,嚴重程度,module,Magento_AdminNotification,
Date Added,新增日期,module,Magento_AdminNotification,
Message,訊息,module,Magento_AdminNotification,
Actions,動作,module,Magento_AdminNotification,
Close popup,關閉彈出式視窗,module,Magento_AdminNotification,
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,已顯示所有最新的系統通知。 要清除通知，請重新整理網頁。,module,Magento_AdminNotification,
